_event_id,_day_of_week,_start_time,_end_time,_weeks,_break_mins,_spanName,_event_catName,_tag1,_tag2,_capacity_req,_deptName,_global_event,_protected,_suspended,_grouping_id,_registers_req,_lock,_resType,_resName,_resWeeks,_layoutName,_scheduling_status,_quantity
,,,,,,,,,,,,,,,,,,Module,CLL JAPANESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59783,Sat,16:00,17:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL JAPANESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLLS,,,,
59784,Sat,14:00,15:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL PORTUGUESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59785,Sat,15:00,16:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL PORTUGUESE 1B,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 10,,,,
59787,Sat,13:00,14:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  6,,,,
59788,Sat,14:00,15:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  6,,,,
59790,Sat,15:00,16:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59792,Sat,16:00,17:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL KOREAN 1A,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59793,Tue,11:00,12:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1102,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59794,Wed,11:00,12:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1102,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  9,,,,
59795,Thu,11:00,12:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1102,,,,
59797,Mon,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59798,Tue,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59799,Wed,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59800,Thu,12:00,13:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1101,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  4,,,,
59802,Wed,17:00,18:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL SPANISH CONVERSATION,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59803,Wed,18:00,19:00,22-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,CLL SPANISH CONVERSATION,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room  3,,,,
59804,Sat,10:00,11:00,21-33,0,,CLL Certificate Language Courses,,,,,N,N,N,,,
,,,,,,,,,,,,,,,,,,Module,SPAN 1106,,,,
,,,,,,,,,,,,,,,,,,Room,FHE CLL  Room 12,,,,
